Rating,Review Count,Product URL
3.4 out of 5 stars,6,https://www.amazon.in//Renewed-HP-6570B-Laptop-Screen/dp/B0829CD86S/ref=sr_1_104?dchild=1&keywords=laptop&qid=1624540830&sr=8-104
,N/A,https://www.amazon.in//Dell-Inspiron-7415-Integrated-D560472WIN9P/dp/B095S7VFF3/ref=sr_1_105?dchild=1&keywords=laptop&qid=1624540830&sr=8-105
3.9 out of 5 stars,10,https://www.amazon.in//Dell-Inspiron-3501-15-6-inch-i5-1135G7/dp/B08VRSHJKL/ref=sr_1_106?dchild=1&keywords=laptop&qid=1624540830&sr=8-106
,N/A,https://www.amazon.in//Renewed-Lenovo-Hybrid-Thinkpad-Numeric/dp/B08T9WP5PS/ref=sr_1_107?dchild=1&keywords=laptop&qid=1624540830&sr=8-107
4.0 out of 5 stars,1,https://www.amazon.in//HP-Processor-15-6-inch-Laptop-15s-fq2071TU/dp/B08XNZD56X/ref=sr_1_108?dchild=1&keywords=laptop&qid=1624540830&sr=8-108
,N/A,https://www.amazon.in//Acer-AN515-54-521N-Processor-Graphics-Obsidian/dp/B08RX9CSQT/ref=sr_1_109?dchild=1&keywords=laptop&qid=1624540830&sr=8-109
4.3 out of 5 stars,25,https://www.amazon.in//HP-35-56cms-Windows-Natural-14s-cf3028TU/dp/B08QSVVC7W/ref=sr_1_110?dchild=1&keywords=laptop&qid=1624540830&sr=8-110
3.2 out of 5 stars,75,https://www.amazon.in//Lenovo-IdeaPad-Windows10-Platinum-81VD00EFIN/dp/B08GG84WDW/ref=sr_1_111?dchild=1&keywords=laptop&qid=1624540830&sr=8-111
2.8 out of 5 stars,38,https://www.amazon.in//HP-15-6-inch-Laptop-Windows-15s-du3053TU/dp/B08W2X72V2/ref=sr_1_112?dchild=1&keywords=laptop&qid=1624540830&sr=8-112
3.6 out of 5 stars,3,https://www.amazon.in//HP-Graphics-14-inch-Windows-14s-dq2100TU/dp/B095JZLDSF/ref=sr_1_113?dchild=1&keywords=laptop&qid=1624540833&sr=8-113
4.1 out of 5 stars,18,https://www.amazon.in//HP-Laptop-14-inch-Windows-14s-dr2015TU/dp/B093L3TV59/ref=sr_1_114?dchild=1&keywords=laptop&qid=1624540833&sr=8-114
3.1 out of 5 stars,27,https://www.amazon.in//HP-15s-gr0006au-Laptop-21W92PA-3-3250U/dp/B08VGTNZ36/ref=sr_1_115?dchild=1&keywords=laptop&qid=1624540833&sr=8-115
3.9 out of 5 stars,14,https://www.amazon.in//Dell-Latitude-3510-i3-10110U-Warranty/dp/B08B9X82C6/ref=sr_1_116?dchild=1&keywords=laptop&qid=1624540833&sr=8-116
4.4 out of 5 stars,76,https://www.amazon.in//HP-Pavilion-Touchscreen-Convertible-14-dw1037TU/dp/B08SRC4JMD/ref=sr_1_117?dchild=1&keywords=laptop&qid=1624540833&sr=8-117
3.7 out of 5 stars,113,https://www.amazon.in//HP-245-G8-AMD-Ryzen/dp/B092HMYLLN/ref=sr_1_118?dchild=1&keywords=laptop&qid=1624540833&sr=8-118
3.2 out of 5 stars,133,https://www.amazon.in//Lenovo-V145-AMD-A6-Laptop-Windows-81MTA000IH/dp/B083C9RDCW/ref=sr_1_119?dchild=1&keywords=laptop&qid=1624540833&sr=8-119
3.1 out of 5 stars,748,https://www.amazon.in//Inspiron-3493-i3-1005G1-Graphics-D560193WIN9SE/dp/B08D6Y52PS/ref=sr_1_120?dchild=1&keywords=laptop&qid=1624540833&sr=8-120
4.6 out of 5 stars,3,https://www.amazon.in//Lenovo-IdeaPad-Windows-Platinum-81WE0143IN/dp/B08JCLMJTY/ref=sr_1_121?dchild=1&keywords=laptop&qid=1624540833&sr=8-121
3.9 out of 5 stars,35,https://www.amazon.in//Dell-Inspiron-i3-1115G4-Integrated-D560446WIN9S/dp/B08X4NKYH5/ref=sr_1_122?dchild=1&keywords=laptop&qid=1624540833&sr=8-122
4.0 out of 5 stars,56,https://www.amazon.in//Lenovo-IdeaPad-Windows-Platinum-81WE0149IN/dp/B08JCXF6VR/ref=sr_1_123?dchild=1&keywords=laptop&qid=1624540833&sr=8-123
4.1 out of 5 stars,27,https://www.amazon.in//HP-Pavilion-Processor-15-6-inch-15-dk1509TX/dp/B08ZN7GBQ5/ref=sr_1_124?dchild=1&keywords=laptop&qid=1624540833&sr=8-124
3.8 out of 5 stars,113,https://www.amazon.in//Lenovo-Ideapad-Graphics-Platinum-81WB00ANIN/dp/B087D41JFB/ref=sr_1_125?dchild=1&keywords=laptop&qid=1624540833&sr=8-125
4.2 out of 5 stars,63,https://www.amazon.in//Lenovo-ThinkPad-Fingerprint-Aluminium-20TDS0A500/dp/B08Y929CPJ/ref=sr_1_126?dchild=1&keywords=laptop&qid=1624540833&sr=8-126
4.3 out of 5 stars,8,https://www.amazon.in//Lenovo-IdeaPad-Backlit-Fingerprint-82H700K7IN/dp/B095KPHGYQ/ref=sr_1_127?dchild=1&keywords=laptop&qid=1624540833&sr=8-127
4.5 out of 5 stars,243,https://www.amazon.in//Lenovo-ThinkPad-Fingerprint-Aluminium-20TDS0G700/dp/B095SST8N9/ref=sr_1_128?dchild=1&keywords=laptop&qid=1624540833&sr=8-128
N/A,N/A,https://www.amazon.in//Dell-INTELCORE10THGENI5-10210U-14INCHFHD-NVIDIAGEFORCEMX2502GBGRAPHICS-WIN10HOME/dp/B08VGBYQLR/ref=sr_1_129?dchild=1&keywords=laptop&qid=1624540835&sr=8-129
3.9 out of 5 stars,28,https://www.amazon.in//LifeDigital-Laptop-Intel%C2%AE-Storage-Windows/dp/B08HRKDL9H/ref=sr_1_130?dchild=1&keywords=laptop&qid=1624540835&sr=8-130
,N/A,https://www.amazon.in//Renewed-Lenovo-Thinkpad-Hybrid-Laptop/dp/B097C5QBZP/ref=sr_1_131?dchild=1&keywords=laptop&qid=1624540835&sr=8-131
